categoria,objeto,detalhes
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: entity_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: old_values | TIPO: jsonb | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: entity_table | TIPO: character varying(50) | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: created_at | TIPO: timestamp with time zone | NULÁVEL: YES | PADRÃO: CURRENT_TIMESTAMP | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: new_values | TIPO: jsonb | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: ip_address | TIPO: character varying(45) | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: action | TIPO: character varying(100) | NULÁVEL: NO | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: id | TIPO: bigint | NULÁVEL: NO | PADRÃO: nextval('audit_logs_id_seq'::regclass) | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: audit_logs,COLUNA: user_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: is_verified | TIPO: boolean | NULÁVEL: YES | PADRÃO: false | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: created_at | TIPO: timestamp with time zone | NULÁVEL: YES | PADRÃO: CURRENT_TIMESTAMP | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: file_type | TIPO: character varying(50) | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: name | TIPO: character varying(255) | NULÁVEL: NO | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: file_url | TIPO: text | NULÁVEL: NO | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: id | TIPO: uuid | NULÁVEL: NO | PADRÃO: gen_random_uuid() | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: client_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: uploaded_by | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_documents,COLUNA: file_size_bytes | TIPO: bigint | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_notes,COLUNA: user_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_notes,COLUNA: content | TIPO: text | NULÁVEL: NO | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_notes,COLUNA: id | TIPO: uuid | NULÁVEL: NO | PADRÃO: gen_random_uuid() | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_notes,COLUNA: client_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_notes,COLUNA: created_at | TIPO: timestamp with time zone | NULÁVEL: YES | PADRÃO: CURRENT_TIMESTAMP | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_stage_history,COLUNA: id | TIPO: uuid | NULÁVEL: NO | PADRÃO: gen_random_uuid() | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_stage_history,COLUNA: to_stage_id | TIPO: integer | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_stage_history,COLUNA: user_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_stage_history,COLUNA: duration_in_previous_stage_seconds | TIPO: integer | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_stage_history,COLUNA: created_at | TIPO: timestamp with time zone | NULÁVEL: YES | PADRÃO: CURRENT_TIMESTAMP | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_stage_history,COLUNA: client_id | TIPO: uuid | NULÁVEL: YES | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_tags,COLUNA: tag_id | TIPO: integer | NULÁVEL: NO | PADRÃO: N/A | DESCRIÇÃO: N/A
1. TABELAS E COLUNAS,TABELA: client_tags,COLUNA: client_id | TIPO: uuid | NULÁVEL: NO | PADRÃO: N/A | DESCRIÇÃO: N/A
